Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,91,9,Some Random Commen with Id 0
1,0,1,44,6,Some Random Commen with Id 1
2,1,0,98,5,Some Random Commen with Id 2
3,1,0,98,3,Some Random Commen with Id 3
4,1,0,177,5,Some Random Commen with Id 4
5,1,0,171,4,Some Random Commen with Id 5
6,1,0,148,1,Some Random Commen with Id 6
7,1,0,46,0,Some Random Commen with Id 7
8,1,0,96,9,Some Random Commen with Id 8
9,2,9,145,7,Some Random Commen with Id 9
10,2,9,163,4,Some Random Commen with Id 10
11,2,9,157,2,Some Random Commen with Id 11
12,2,9,190,1,Some Random Commen with Id 12
13,2,9,167,9,Some Random Commen with Id 13
14,3,9,191,6,Some Random Commen with Id 14
15,3,9,122,3,Some Random Commen with Id 15
16,3,9,12,3,Some Random Commen with Id 16
17,3,9,97,3,Some Random Commen with Id 17
18,3,9,187,0,Some Random Commen with Id 18
19,3,9,159,3,Some Random Commen with Id 19
20,3,9,17,0,Some Random Commen with Id 20
21,3,9,181,4,Some Random Commen with Id 21
22,5,5,24,8,Some Random Commen with Id 22
23,6,6,46,9,Some Random Commen with Id 23
24,6,6,87,1,Some Random Commen with Id 24
25,6,6,15,1,Some Random Commen with Id 25
26,6,6,91,4,Some Random Commen with Id 26
27,6,6,166,4,Some Random Commen with Id 27
28,6,6,111,7,Some Random Commen with Id 28
29,8,0,99,8,Some Random Commen with Id 29
30,8,0,181,5,Some Random Commen with Id 30
31,8,0,85,1,Some Random Commen with Id 31
32,8,0,138,9,Some Random Commen with Id 32
33,8,0,0,6,Some Random Commen with Id 33
34,8,0,180,0,Some Random Commen with Id 34
35,8,0,8,8,Some Random Commen with Id 35
36,8,0,35,3,Some Random Commen with Id 36
37,9,3,18,7,Some Random Commen with Id 37
38,9,3,128,9,Some Random Commen with Id 38
39,9,3,84,2,Some Random Commen with Id 39
40,9,3,22,8,Some Random Commen with Id 40
41,9,3,48,6,Some Random Commen with Id 41
42,9,3,51,0,Some Random Commen with Id 42
43,9,3,184,0,Some Random Commen with Id 43
44,9,3,134,3,Some Random Commen with Id 44
45,10,2,67,3,Some Random Commen with Id 45
46,10,2,41,4,Some Random Commen with Id 46
47,10,2,110,0,Some Random Commen with Id 47
48,10,2,141,4,Some Random Commen with Id 48
49,10,2,90,7,Some Random Commen with Id 49
50,11,9,132,1,Some Random Commen with Id 50
51,11,9,70,2,Some Random Commen with Id 51
52,11,9,13,5,Some Random Commen with Id 52
53,11,9,162,2,Some Random Commen with Id 53
54,11,9,20,9,Some Random Commen with Id 54
55,11,9,10,2,Some Random Commen with Id 55
56,11,9,1,7,Some Random Commen with Id 56
57,12,9,126,6,Some Random Commen with Id 57
58,13,6,57,4,Some Random Commen with Id 58
59,13,6,110,0,Some Random Commen with Id 59
60,14,4,136,1,Some Random Commen with Id 60
61,14,4,29,6,Some Random Commen with Id 61
62,15,9,136,5,Some Random Commen with Id 62
63,15,9,20,0,Some Random Commen with Id 63
64,15,9,83,9,Some Random Commen with Id 64
65,15,9,23,0,Some Random Commen with Id 65
66,15,9,178,8,Some Random Commen with Id 66
67,15,9,136,8,Some Random Commen with Id 67
68,15,9,25,4,Some Random Commen with Id 68
69,15,9,58,5,Some Random Commen with Id 69
70,16,2,173,9,Some Random Commen with Id 70
71,16,2,8,4,Some Random Commen with Id 71
72,16,2,4,7,Some Random Commen with Id 72
73,16,2,36,7,Some Random Commen with Id 73
74,16,2,65,8,Some Random Commen with Id 74
75,16,2,51,5,Some Random Commen with Id 75
76,16,2,49,6,Some Random Commen with Id 76
77,17,9,73,3,Some Random Commen with Id 77
78,17,9,21,3,Some Random Commen with Id 78
79,17,9,199,6,Some Random Commen with Id 79
80,17,9,182,4,Some Random Commen with Id 80
81,17,9,118,3,Some Random Commen with Id 81
82,17,9,150,9,Some Random Commen with Id 82
83,17,9,129,3,Some Random Commen with Id 83
84,18,4,88,0,Some Random Commen with Id 84
85,19,6,80,7,Some Random Commen with Id 85
86,19,6,51,4,Some Random Commen with Id 86
87,19,6,45,9,Some Random Commen with Id 87
88,19,6,40,0,Some Random Commen with Id 88
89,19,6,75,6,Some Random Commen with Id 89
90,20,4,114,7,Some Random Commen with Id 90
91,21,2,88,3,Some Random Commen with Id 91
92,21,2,162,8,Some Random Commen with Id 92
93,21,2,120,3,Some Random Commen with Id 93
94,21,2,173,2,Some Random Commen with Id 94
95,21,2,32,5,Some Random Commen with Id 95
96,21,2,171,0,Some Random Commen with Id 96
97,21,2,120,4,Some Random Commen with Id 97
98,21,2,119,3,Some Random Commen with Id 98
99,21,2,110,7,Some Random Commen with Id 99
100,22,0,87,8,Some Random Commen with Id 100
101,22,0,97,1,Some Random Commen with Id 101
102,22,0,40,5,Some Random Commen with Id 102
103,22,0,15,3,Some Random Commen with Id 103
104,22,0,146,7,Some Random Commen with Id 104
105,22,0,23,9,Some Random Commen with Id 105
106,22,0,52,5,Some Random Commen with Id 106
107,22,0,12,4,Some Random Commen with Id 107
108,23,5,121,5,Some Random Commen with Id 108
109,23,5,76,9,Some Random Commen with Id 109
110,23,5,51,0,Some Random Commen with Id 110
111,23,5,113,0,Some Random Commen with Id 111
112,23,5,14,5,Some Random Commen with Id 112
113,23,5,170,5,Some Random Commen with Id 113
114,23,5,183,6,Some Random Commen with Id 114
115,24,9,9,2,Some Random Commen with Id 115
116,24,9,156,7,Some Random Commen with Id 116
117,24,9,196,1,Some Random Commen with Id 117
118,24,9,118,8,Some Random Commen with Id 118
119,24,9,79,8,Some Random Commen with Id 119
120,25,4,78,7,Some Random Commen with Id 120
121,25,4,169,6,Some Random Commen with Id 121
122,26,7,136,0,Some Random Commen with Id 122
123,26,7,110,8,Some Random Commen with Id 123
124,26,7,0,6,Some Random Commen with Id 124
125,26,7,56,1,Some Random Commen with Id 125
126,27,3,20,7,Some Random Commen with Id 126
127,27,3,70,1,Some Random Commen with Id 127
128,27,3,165,6,Some Random Commen with Id 128
129,27,3,114,8,Some Random Commen with Id 129
130,29,9,156,2,Some Random Commen with Id 130
131,29,9,184,3,Some Random Commen with Id 131
132,29,9,54,0,Some Random Commen with Id 132
133,29,9,177,0,Some Random Commen with Id 133
134,29,9,2,4,Some Random Commen with Id 134
135,29,9,130,2,Some Random Commen with Id 135
136,29,9,62,2,Some Random Commen with Id 136
137,29,9,80,9,Some Random Commen with Id 137
138,29,9,40,3,Some Random Commen with Id 138
139,30,7,0,2,Some Random Commen with Id 139
140,30,7,186,7,Some Random Commen with Id 140
141,30,7,33,9,Some Random Commen with Id 141
142,30,7,40,2,Some Random Commen with Id 142
143,30,7,14,7,Some Random Commen with Id 143
144,30,7,62,6,Some Random Commen with Id 144
145,30,7,57,1,Some Random Commen with Id 145
146,30,7,192,4,Some Random Commen with Id 146
147,32,6,87,5,Some Random Commen with Id 147
148,32,6,164,7,Some Random Commen with Id 148
149,32,6,9,9,Some Random Commen with Id 149
150,32,6,197,2,Some Random Commen with Id 150
151,32,6,99,9,Some Random Commen with Id 151
152,32,6,48,3,Some Random Commen with Id 152
153,33,4,14,2,Some Random Commen with Id 153
